16:07:48 | INFO     | workshop:setup_logger:57 | ============================================================
16:07:50 | INFO     | workshop.wake_word:__init__:104 | Pre-trained models downloaded/verified
16:07:50 | INFO     | workshop.wake_word:__init__:124 | Loading OpenWakeWord model: alexa
16:07:50 | INFO     | workshop.wake_word:__init__:133 | Discovered prediction key: 'alexa'
16:07:50 | INFO     | workshop.wake_word:__init__:154 | WakeWordDetector ready: model=alexa, key=alexa, threshold=0.5, cooldown=2.0s, warmup=1.5s
16:07:50 | INFO     | workshop.audio_pipeline:__init__:61 | Initializing AudioFramePipeline (rate=44100, frame=512, timeout=30.0s)
16:07:50 | INFO     | workshop.audio:__init__:81 | AudioStream initialized: HW=44100Hz, Output=44100Hz, 2ch, 1470 samples/frame, device=None
16:07:50 | INFO     | workshop.vad:__init__:62 | Loading silero-vad model...
16:07:50 | INFO     | workshop.vad:__init__:71 | ✅ silero-vad loaded
16:07:50 | INFO     | workshop.vad:__init__:89 | VAD ready: threshold=0.5, min_speech=250ms, min_silence=300ms
16:07:50 | INFO     | workshop.vad:__init__:296 | SpeechEndDetector initialized (timeout=30.0s)
16:07:50 | INFO     | workshop.vad:__init__:445 | InterruptionDetector initialized (threshold=0.60, confirmation=3)
16:07:50 | INFO     | workshop.audio_pipeline:__init__:92 | AudioFramePipeline initialized successfully
16:07:50 | INFO     | workshop.wake_pipeline:__init__:68 | ✅ WakeWordPipeline initialized successfully
16:07:50 | INFO     | workshop.wake_pipeline:register_callbacks:76 | Callbacks registered: on_wake=True, on_speech=True
16:07:50 | INFO     | workshop.wake_pipeline:run:236 | 🚀 Starting wake word pipeline...
16:07:50 | INFO     | workshop.audio:start:184 | ✅ Audio stream started (device=None, HW=44100Hz, Output=44100Hz)
16:07:50 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:50 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:51 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.0}
16:07:52 | INFO     | workshop.wake_word:_process_chunk:229 | Warmup complete, detection enabled
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.00022961265}
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.02595172}
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.31916365}
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.35456944}
16:07:52 | INFO     | workshop.wake_word:_process_chunk:252 | 🎤 Wake word detected! (score=0.748)
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:108 | 🔍 Wake scores: {'alexa': 0.74752605}
16:07:52 | INFO     | workshop.wake_pipeline:_process_idle_state:113 | 🎤 WAKE WORD DETECTED! 'alexa' (#1, score=0.748)
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:129 | Waiting for async wake callback to complete...
16:07:52 | DEBUG    | workshop.wake_pipeline:_process_idle_state:131 | Async wake callback completed
16:07:52 | INFO     | workshop.wake_pipeline:set_state:84 | State transition: idle → listening (was idle for 1.99s)
16:07:52 | INFO     | workshop.wake_pipeline:_process_idle_state:156 | Queue size before refill: 5 frames
16:07:52 | INFO     | workshop.wake_pipeline:_process_idle_state:165 | Queue refilled: 10 frames in 150ms
16:07:52 | INFO     | workshop.audio_pipeline:start_listening:108 | 🎤 Starting audio capture...
16:07:52 | DEBUG    | workshop.vad:reset:152 | VAD state reset
16:07:52 | DEBUG    | workshop.vad:reset:152 | VAD state reset
16:07:52 | DEBUG    | workshop.vad:reset:358 | SpeechEndDetector reset
16:07:52 | DEBUG    | workshop.vad:reset:533 | InterruptionDetector reset
16:07:52 | INFO     | workshop.audio_pipeline:start_listening:120 | ✅ Listening active
16:07:52 | INFO     | workshop.audio_pipeline:capture_speech_segment:234 | Waiting for speech (max 30s)...
16:07:54 | INFO     | workshop.vad:process_frame:126 | 🗣️  Speech started (prob=0.99)
16:07:54 | DEBUG    | workshop.vad:process_frame:315 | Speech started, timer activated
16:07:55 | INFO     | workshop.vad:process_frame:134 | 🔇 Speech ended (prob=0.02)
16:07:55 | INFO     | workshop.vad:finalize_segment:241 | 📦 Speech segment collected: 9216 samples (0.58s)
16:07:55 | INFO     | workshop.vad:process_frame:347 | ✅ Speech ended naturally: 0.58s, 9216 samples
16:07:55 | INFO     | workshop.audio_pipeline:process_frame:202 | 📦 Speech segment #1: 0.21s (natural_pause)
16:07:55 | INFO     | workshop.audio_pipeline:capture_speech_segment:264 | ✅ Speech captured after 2.3s (81 frames)
16:07:55 | INFO     | workshop.wake_pipeline:_process_listening_state:182 | 📝 SPEECH CAPTURED! (#1, 0.21s, natural_pause)
16:07:55 | DEBUG    | workshop.wake_pipeline:_process_listening_state:198 | Waiting for async speech callback to complete...
16:07:56 | DEBUG    | workshop.whisper_cpp:transcribe_file:106 | Transcribed: ...
16:07:56 | INFO     | workshop.wake_pipeline:set_state:84 | State transition: listening → idle (was listening for 3.68s)
16:07:56 | DEBUG    | workshop.wake_pipeline:_process_listening_state:200 | Async speech callback completed
16:07:56 | INFO     | workshop.wake_pipeline:set_state:84 | State transition: idle → processing (was idle for 0.00s)
16:08:37 | INFO     | workshop.wake_pipeline:stop:275 | 🛑 Stopping pipeline...
16:08:37 | INFO     | workshop.audio:stop:215 | Audio stream stopped
16:08:37 | INFO     | workshop.wake_pipeline:stop:286 | ✅ Pipeline stopped
16:08:37 | INFO     | workshop.wake_pipeline:stop:275 | 🛑 Stopping pipeline...
16:08:37 | INFO     | workshop.wake_pipeline:stop:286 | ✅ Pipeline stopped
16:08:37 | INFO     | workshop.constructs:stop_server:94 | Construct server stopped
16:08:37 | INFO     | workshop.constructs:stop_server:94 | Construct server stopped
16:08:37 | INFO     | workshop.wake_pipeline:stop:275 | 🛑 Stopping pipeline...
16:08:37 | INFO     | workshop.wake_pipeline:stop:286 | ✅ Pipeline stopped
